Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785041280,12,POST,TTFB POST /v1/chat/completions,3.750000,0.000000,46,59,72,74,230,310,350,350,350,350,350,40,0,46,77.67388250003933,21.539700001085293,347.37999999924796,0.0
1785041280,12,,Aggregated,13.000000,0.000000,63,120,180,230,310,330,400,440,480,480,480,141,0,63,115.3651617021248,9.40430000082415,476.21950000029756,2628.7659574468084
1785041281,12,GET,API GET /api/v1/users/me,5.800000,0.000000,24,30,39,42,230,250,280,290,290,290,290,56,0,22,55.22571964287896,9.40430000082415,290.0907000002917,766.0
1785041281,12,POST,SEARCH POST /api/v1/search,4.000000,0.000000,120,170,180,240,260,400,440,480,480,480,480,53,0,120,161.46809433962088,55.70790000092529,476.21950000029756,8116.471698113208
1785041281,12,POST,SETUP POST /api/v1/auth/login,2.400000,0.000000,330,330,330,340,360,360,360,360,360,360,360,12,0,320,316.7023583332593,270.0133999987884,362.77960000006715,705.0
1785041281,12,POST,TTFB POST /v1/chat/completions,4.800000,0.000000,47,60,73,93,230,260,350,350,350,350,350,51,0,47,76.67046078438266,21.539700001085293,347.37999999924796,0.0
1785041281,12,,Aggregated,17.000000,0.000000,72,110,180,230,290,330,360,440,480,480,480,172,0,71,112.56436686048696,9.40430000082415,476.21950000029756,2799.5872093023254
1785041282,12,GET,API GET /api/v1/users/me,6.500000,0.000000,22,29,37,41,210,240,280,290,290,290,290,69,0,21,48.92144202900796,8.916099999623839,290.0907000002917,766.0
1785041282,12,POST,SEARCH POST /api/v1/search,4.666667,0.000000,120,160,180,180,250,300,440,480,480,480,480,62,0,120,152.81534516124074,55.70790000092529,476.21950000029756,8116.435483870968
1785041282,12,POST,SETUP POST /api/v1/auth/login,2.000000,0.000000,330,330,330,340,360,360,360,360,360,360,360,12,0,320,316.7023583332593,270.0133999987884,362.77960000006715,705.0
1785041282,12,POST,TTFB POST /v1/chat/completions,5.833333,0.000000,47,61,74,93,180,260,310,350,350,350,350,60,0,47,75.83626166679096,21.539700001085293,347.37999999924796,0.0
1785041282,12,,Aggregated,19.000000,0.000000,64,110,160,180,270,320,350,400,480,480,480,203,0,64,104.437117734015,8.916099999623839,476.21950000029756,2780.9507389162563
1785041283,12,GET,API GET /api/v1/users/me,7.000000,0.000000,21,29,37,41,180,240,280,290,290,290,290,78,0,21,45.86425384621133,8.763900001213187,290.0907000002917,766.0
1785041283,12,POST,SEARCH POST /api/v1/search,5.857143,0.000000,110,130,180,180,250,300,440,480,480,480,480,73,0,110,141.77451780821298,51.63220000031288,476.21950000029756,8116.315068493151
1785041283,12,POST,SETUP POST /api/v1/auth/login,1.714286,0.000000,330,330,330,340,360,360,360,360,360,360,360,12,0,320,316.7023583332593,270.0133999987884,362.77960000006715,705.0
1785041283,12,POST,TTFB POST /v1/chat/completions,5.857143,0.000000,47,61,67,74,140,230,310,350,350,350,350,72,0,47,71.00722083340669,21.539700001085293,347.37999999924796,0.0
1785041283,12,,Aggregated,20.428571,0.000000,62,93,120,170,260,320,350,400,480,480,480,235,0,62,97.19106297875925,8.763900001213187,476.21950000029756,2811.4851063829788
1785041284,12,GET,API GET /api/v1/users/me,7.125000,0.000000,23,35,42,57,140,240,280,290,290,290,290,86,0,22,47.89265232563572,8.763900001213187,290.0907000002917,766.0
