Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,API GET /api/v1/users/me,1342,0,17,27.167951341265297,8.281599999463651,981.5161999995325,766.0,11.231684744320543,0.0,17,23,28,32,43,58,87,180,720,980,980
POST,SEARCH POST /api/v1/search,1293,0,80,95.97132861564702,45.27539999980945,1017.419300000256,8116.019334880124,10.821585971986933,0.0,80,97,110,120,150,180,260,310,480,1000,1000
POST,SETUP POST /api/v1/auth/login,12,0,320,316.7023583332593,270.0133999987884,362.77960000006715,705.0,0.10043235240823138,0.0,320,330,330,330,340,360,360,360,360,360,360
POST,TTFB POST /v1/chat/completions,1263,0,39,50.35416753759969,19.64419999967504,1014.357399999426,0.0,10.570505090966353,0.0,39,47,56,61,79,99,140,180,1000,1000,1000
,Aggregated,3910,0,43,58.29873670076659,8.281599999463651,1017.419300000256,2948.962915601023,32.72420815968206,0.0,43,61,73,82,110,150,230,290,990,1000,1000
